TimeStamp,HANDSHAKE,HANDSHAKE
23539838.401709,0.0708093,0.745211
23550252.534188,0.892254,0.297474
23560666.666667,0.136269,0.665529
23571080.799145,0.804194,0.37938
23581494.931624,0.233779,0.574471
23591909.064103,0.774229,0.46381
23602323.196581,0.144956,0.492163
23612737.329060,0.7474,0.574497
23623151.461538,0.132137,0.380954
23633565.594017,0.76312,0.648975
23643979.726496,0.23907,0.309984
23654393.858974,0.630318,0.727069
23664807.991453,0.479301,0.217583
23675222.123932,0.444495,0.814146
23685636.256410,0.620552,0.150393
23696050.388889,0.314659,0.886991
23706464.521368,0.753049,0.0493268
23716878.653846,0.377137,1
23727292.786325,0.607073,0.037071
23737706.918803,0.24333,0.926504
23748121.051282,0.932077,0.120125
23758535.183761,0.0272365,0.838341
23768949.316239,0.89082,0.197649
23779363.448718,0.0405627,0.764387
23789777.581197,0.909294,0.278806
23800191.713675,0.117872,0.702442
23810605.846154,0.861676,0.330106
23821019.978632,0.173077,0.619976
23831434.111111,0.791223,0.420221
23841848.243590,0.264037,0.543056
23852262.376068,0.696208,0.498974
23862676.508547,0.281742,0.460813
23873090.641026,0.841396,0.579411
23883504.773504,0,0.372335
23893918.905983,0,0.663295
23904333.038462,0.359643,0.307544
23914747.170940,0.593049,0.731874
23925161.303419,0.457611,0.235775
23935575.435897,0.44655,0.808872
23945989.568376,0.658342,0.144221
23956403.700855,0.297875,0.893937
23966817.833333,0.747347,0.0667964
23977231.965812,0.213507,0.970324
23987646.098291,0.822813,0.0221516
23998060.230769,0.144378,1
24008474.363248,0,1
24018888.495726,0,0.757802
24029302.628205,0.987087,0.275551
24039716.760684,0.02635,0.67621
24050130.893162,0.935722,0.368087
24060545.025641,0.0107772,0.603063
24070959.158120,0.94587,0.43661
24081373.290598,1,0.514931
24091787.423077,0.966157,0.527071
24102201.555556,0.183015,0.464204
24112615.688034,0.75353,0.548122
24123029.820513,0.287438,0.413889
24133443.952991,0.655737,0.634323
24143858.085470,0.42861,0.314088
24154272.217949,0.499207,0.718248
24164686.350427,0.564313,0.250486
24175100.482906,0.423618,0.800638
24185514.615385,0.626907,0.182664
24195928.747863,0.319239,0.873182
24206342.880342,0.729468,0.0584978
24216757.012821,0.217781,0.986473
24227171.145299,0.697251,0.0354529
24237585.277778,0.250354,0.931569
24247999.410256,0.901409,0.1283
24258413.542735,0.0457326,0.835746
24268827.675214,0.90319,0.198224
24279241.807692,0.0166431,0.769227
24289655.940171,0.918138,0.269027
24300070.072650,0.115848,0.690134
24310484.205128,0.854389,0.335718
24320898.337607,0.153656,0.626377
24331312.470085,0.965338,0.418836
24341726.602564,0.259174,0.546528
24352140.735043,1,0
24362554.867521,1,0
24372969.000000,0.731364,0.64377
24383383.132479,0,0.314008
24393797.264957,0,0.728134
24404211.397436,0.498362,0.275558
24414625.529915,0.437628,0.758639
24425039.662393,0.610869,0.194417
24435453.794872,0.353037,0.842943
24445867.927350,0.590003,0.132299
24456282.059829,0.415458,0.913006
24466696.192308,0.726715,0.0345449
24477110.324786,0.190818,1
24487524.457265,0.852872,0.0478972
24497938.589744,0.125663,0.909086
24508352.722222,0.877677,0.176741
24518766.854701,0.0846245,0.786281
24529180.987179,0.960742,0.257478
24539595.119658,0.101158,0.702175
24550009.252137,0.971278,0.34207
24560423.384615,0,0.615623
24570837.517094,0.79067,0.423564
24581251.649573,0.152594,0.540433
24591665.782051,0.790276,0.504943
24602079.914530,0.265239,0.495215
24612494.047009,0.696599,0.496078
24622908.179487,0.351337,0.464089
24633322.311966,0.610622,0.58068
24643736.444444,0.432935,0.375919
24654150.576923,0.528258,0.65508
24664564.709402,0,1
24674978.841880,0,1
24685392.974359,0.610343,0.191672
24695807.106838,0.347157,0.842385
24706221.239316,0.731786,0.0688677
24716635.371795,0.224224,0.971955
24727049.504274,0.817566,0.0226935
24737463.636752,0.199177,0.934417
24747877.769231,0.898954,0.100871
24758291.901709,0.0681959,0.865009
24768706.034188,0.970354,0.169596
24779120.166667,0,0.791088
24789534.299145,0.950541,0.244981
24799948.431624,0.086592,0.718381
24810362.564103,0.858461,0.354651
24820776.696581,0.0928223,0.596684
24831190.829060,0.78869,0.436909
24841604.961538,0.193728,0.528226
24852019.094017,0.678241,0.513045
24862433.226496,0.366613,0.442229
24872847.358974,0.592856,0.601815
24883261.491453,0.41733,0.354922
24893675.623932,0.556546,0.685948
24904089.756410,0.505811,0.314681
24914503.888889,0.518556,0.713281
24924918.021368,0.520292,0.242871
24935332.153846,0.40492,0.794484
24945746.286325,0.643045,0.159286
24956160.418803,0.313914,0.883772
24966574.551282,0.71965,0.0691598
24976988.683761,0.237773,0.963229
24987402.816239,0.805265,0
24997816.948718,0.171271,0.955868
25008231.081197,0.868841,0.195878
25018645.213675,0.0539982,0.847007
25029059.346154,1,0.185111
25039473.478632,0.0445236,0.798967
25049887.611111,0.911937,0.268931
25060301.743590,0.120363,0.677302
